Transaction_ID,Customer_ID,Transaction_Date,Product_ID,Product_Name,Unit_Price,Quantity,Total_Price,Country,Payment_Method
1,101,2023-01-01,1,Blue T-shirt,15.99,2,31.98,USA,Credit Card
2,102,2023-01-02,2,Black Jeans,29.99,1,29.99,UK,PayPal
3,103,2023-01-03,3,Red Dress,39.99,1,39.99,Canada,Credit Card
4,104,2023-01-04,4,White Sneakers,24.99,2,49.98,USA,Debit Card
5,105,2023-01-05,5,Gray Hoodie,34.99,1,34.99,USA,Credit Card
6,106,2023-01-06,6,Denim Jacket,49.99,1,49.99,UK,PayPal
7,107,2023-01-07,7,Green Skirt,19.99,2,39.98,Canada,Credit Card
8,108,2023-01-08,8,Purple Scarf,9.99,3,29.97,USA,PayPal
9,109,2023-01-09,9,Yellow Sunglasses,14.99,1,14.99,UK,Debit Card
10,110,2023-01-10,10,Orange Backpack,44.99,1,44.99,USA,Credit Card
11,111,2023-01-11,11,Striped Shirt,19.99,2,39.98,Canada,Debit Card
12,112,2023-01-12,12,Polka Dot Dress,59.99,1,59.99,UK,Credit Card
13,113,2023-01-13,13,Plaid Shorts,24.99,1,24.99,USA,PayPal
14,114,2023-01-14,14,Checked Blouse,29.99,1,29.99,UK,Credit Card
15,115,2023-01-15,15,Floral Skirt,19.99,2,39.98,Canada,Debit Card
16,116,2023-01-16,16,Leather Jacket,79.99,1,79.99,USA,Credit Card
17,117,2023-01-17,17,Sweatpants,34.99,1,34.99,UK,PayPal
18,118,2023-01-18,18,Hooded Sweatshirt,49.99,1,49.99,Canada,Credit Card
19,119,2023-01-19,19,Beanie Hat,12.99,2,25.98,USA,Credit Card
20,120,2023-01-20,20,Silk Scarf,29.99,1,29.99,UK,Debit Card
21,121,2023-01-21,21,Cotton Socks,9.99,3,29.97,Canada,PayPal
22,122,2023-01-22,22,Leather Belt,19.99,1,19.99,USA,Credit Card
23,123,2023-01-23,23,Canvas Shoes,29.99,1,29.99,UK,Debit Card
24,124,2023-01-24,24,Printed Tote Bag,39.99,1,39.99,Canada,Credit Card
25,125,2023-01-25,25,Plaid Shirt,24.99,2,49.98,USA,PayPal
26,126,2023-01-26,26,Striped Sweater,39.99,1,39.99,UK,Debit Card
27,127,2023-01-27,27,Denim Shorts,29.99,1,29.99,Canada,PayPal
28,128,2023-01-28,28,Lace Top,19.99,2,39.98,USA,Credit Card
29,129,2023-01-29,29,Knit Beanie,14.99,1,14.99,UK,Credit Card
30,130,2023-01-30,30,Plaid Scarf,24.99,1,24.99,Canada,Debit Card
31,101,2023-01-31,1,Blue T-shirt,15.99,2,31.98,USA,Credit Card
32,102,2023-02-01,2,Black Jeans,29.99,1,29.99,UK,PayPal
33,103,2023-02-02,3,Red Dress,39.99,1,39.99,Canada,Credit Card
34,104,2023-02-03,4,White Sneakers,24.99,2,49.98,USA,Debit Card
35,105,2023-02-04,5,Gray Hoodie,34.99,1,34.99,USA,Credit Card
36,106,2023-02-05,6,Denim Jacket,49.99,1,49.99,UK,PayPal
37,107,2023-02-06,7,Green Skirt,19.99,2,39.98,Canada,Credit Card
38,108,2023-02-07,8,Purple Scarf,9.99,3,29.97,USA,PayPal
39,109,2023-02-08,9,Yellow Sunglasses,,1,14.99,UK,Debit Card
40,110,2023-02-09,10,Orange Backpack,44.99,1,,USA,Credit Card
41,111,2023-02-10,11,Striped Shirt,19.99,2,39.98,Canada,Debit Card
42,112,2023-02-11,12,Polka Dot Dress,59.99,1,59.99,UK,Credit Card
43,113,2023-02-12,13,Plaid Shorts,24.99,1,24.99,USA,PayPal
44,114,2023-02-13,14,Checked Blouse,29.99,1,29.99,UK,Credit Card
45,115,2023-02-14,15,Floral Skirt,19.99,2,39.98,Canada,Debit Card
46,116,2023-02-15,16,Leather Jacket,79.99,1,79.99,USA,Credit Card
47,117,2023-02-16,17,Sweatpants,34.99,1,34.99,UK,PayPal
48,118,2023-02-17,18,Hooded Sweatshirt,49.99,1,49.99,Canada,Credit Card
49,119,2023-02-18,19,Beanie Hat,12.99,2,25.98,USA,Credit Card
50,120,2023-02-19,20,Silk Scarf,29.99,1,29.99,UK,Debit Card
1,101,2023-01-01,1,Blue T-shirt,15.99,2,31.98,USA,Credit Card
2,102,2023-01-02,2,Black Jeans,29.99,1,29.99,UK,PayPal
3,103,2023-01-03,3,Red Dress,39.99,1,39.99,Canada,Credit Card
4,104,2023-01-04,4,White Sneakers,24.99,2,49.98,USA,Debit Card
5,105,2023-01-05,5,Gray Hoodie,34.99,1,34.99,USA,Credit Card
6,106,2023-01-06,6,Denim Jacket,49.99,1,49.99,UK,PayPal
7,107,2023-01-07,7,Green Skirt,19.99,2,39.98,Canada,Credit Card
8,108,2023-01-08,8,Purple Scarf,9.99,3,29.97,USA,PayPal
9,109,2023-01-09,9,Yellow Sunglasses,14.99,1,14.99,UK,Debit Card
10,110,2023-01-10,10,Orange Backpack,44.99,1,44.99,USA,Credit Card
